242. 	235980 	Tetrobot and Co. 	313 	8 	94.71% 	97.51%
243. 	200710 	Torchlight II 	24,986 	1,314 	94.69% 	95.00%
244. 	50 	Half-Life: Opposing Force 	3,490 	164 	94.68% 	95.51%
245. 	500 	Left 4 Dead 	11,973 	613 	94.68% 	95.13%
246. 	245550 	Free to Play 	10,698 	547 	94.66% 	95.14%
247. 	2310 	Quake 	1,688 	73 	94.65% 	95.85%
248. 	57300 	Amnesia: The Dark Descent 	15,302 	798 	94.65% 	95.04%
249. 	421660 	Harmonia 	234 	5 	94.64% 	97.91%
250. 	569860 	Thimbleweed Park 	1,010 	40 	94.63% 	96.19%
251. 	457210 	SEUM: Speedrunners from Hell 	471 	15 	94.62% 	96.91%
252. 	248610 	Door Kickers 	3,885 	187 	94.61% 	95.41%
253. 	532110 	Rusty Lake: Roots 	711 	26 	94.61% 	96.47%
254. 	315810 	eden* 	1,210 	50 	94.61% 	96.03%
255. 	394970 	DEADBOLT 	1,430 	61 	94.60% 	95.91%
256. 	481510 	Night in the Woods 	2,740 	128 	94.59% 	95.54%
257. 	462990 	Tomoyo After ~It's a Wonderful Life~ English Edition 	121 	1 	94.59% 	99.18%
258. 	212480 	Sonic & All-Stars Racing Transformed 	8,857 	456 	94.58% 	95.10%
259. 	6910 	Deus Ex: Game of the Year Edition 	4,668 	232 	94.54% 	95.27%
260. 	380 	Half-Life 2: Episode One 	5,096 	255 	94.54% 	95.23%
261. 	552080 	IronWolf VR 	177 	3 	94.54% 	98.33%
262. 	335670 	LISA 	5,061 	253 	94.54% 	95.24%
263. 	32460 	Monkey Island 2: Special Edition 	889 	35 	94.54% 	96.21%
264. 	4580 	Warhammer 40,000: Dawn of War - Dark Crusade 	2,069 	95 	94.51% 	95.61%
265. 	292800 	Pajama Sam 3: You Are What You Eat From Your Head To Your Feet 	119 	1 	94.50% 	99.17%
266. 	4500 	S.T.A.L.K.E.R.: Shadow of Chernobyl 	6,538 	336 	94.50% 	95.11%
267. 	422970 	Devil Daggers 	3,219 	156 	94.50% 	95.38%
268. 	449830 	Muv-Luv 	437 	14 	94.49% 	96.90%
269. 	588040 	WILL: A Wonderful World 	1,220 	52 	94.48% 	95.91%
270. 	298030 	Total Annihilation 	938 	38 	94.47% 	96.11%
271. 	296490 	GemCraft - Chasing Shadows 	1,607 	72 	94.46% 	95.71%
272. 	32360 	The Secret of Monkey Island: Special Edition 	1,620 	73 	94.44% 	95.69%
273. 	520010 	Climbey 	366 	11 	94.44% 	97.08%
274. 	406150 	Refunct 	5,639 	290 	94.44% 	95.11%
275. 	259680 	Tales of Maj'Eyal 	2,057 	96 	94.43% 	95.54%
276. 	40700 	Machinarium 	3,190 	157 	94.42% 	95.31%
277. 	247020 	Cook, Serve, Delicious! 	3,666 	184 	94.39% 	95.22%
278. 	405820 	Turok: Dinosaur Hunter 	1,196 	52 	94.37% 	95.83%
279. 	207350 	Ys Origin 	1,503 	68 	94.37% 	95.67%
280. 	220440 	DmC Devil May Cry 	9,829 	532 	94.36% 	94.87%
281. 	501300 	What Remains of Edith Finch 	1,690 	78 	94.36% 	95.59%
282. 	472870 	Higurashi When They Cry Hou - Ch.3 Tatarigoroshi 	84 	0 	94.36% 	100%
283. 	4560 	Company of Heroes 	4,408 	227 	94.34% 	95.10%
284. 	2200 	Quake III Arena 	854 	35 	94.32% 	96.06%
285. 	251990 	Long Live The Queen 	5,254 	276 	94.31% 	95.01%
286. 	411830 	SENRAN KAGURA SHINOVI VERSUS 	2,463 	121 	94.29% 	95.32%
287. 	72850 	The Elder Scrolls V: Skyrim 	214,856 	12,779 	94.28% 	94.39%
288. 	545980 	Voodoo Vince: Remastered 	114 	1 	94.27% 	99.13%
289. 	279800 	Grim Legends 2: Song of the Dark Swan 	585 	22 	94.26% 	96.38%
290. 	377670 	G-senjou no Maou - The Devil on G-String 	192 	4 	94.22% 	97.96%
291. 	562220 	Zup! 2 	3,161 	162 	94.22% 	95.12%
292. 	94200 	Jamestown 	1,809 	87 	94.21% 	95.41%
293. 	220780 	Thomas Was Alone 	7,011 	383 	94.21% 	94.82%
294. 	396650 	ACE Academy 	538 	20 	94.20% 	96.42%
295. 	453000 	TheWaveVR 	140 	2 	94.19% 	98.59%
296. 	2600 	Vampire: The Masquerade - Bloodlines 	4,660 	250 	94.16% 	94.91%
297. 	13250 	Unreal Gold 	534 	20 	94.16% 	96.39%
298. 	214730 	Space Rangers HD: A War Apart 	2,451 	124 	94.15% 	95.18%
299. 	50130 	Mafia II 	23,863 	1,396 	94.14% 	94.47%
300. 	207170 	Legend of Grimrock 	4,043 	215 	94.14% 	94.95%
301. 	450540 	Hot Dogs, Horseshoes & Hand Grenades 	881 	38 	94.13% 	95.87%
302. 	332200 	Axiom Verge 	2,190 	110 	94.12% 	95.22%
303. 	520440 	GUILTY GEAR Xrd -REVELATOR- 	955 	42 	94.12% 	95.79%
304. 	252110 	Lovers in a Dangerous Spacetime 	1,066 	48 	94.11% 	95.69%
305. 	449960 	Book of Demons 	705 	29 	94.10% 	96.05%
306. 	308600 	Geneshift 	80 	0 	94.09% 	100%
307. 	7670 	BioShock 	17,650 	1,034 	94.08% 	94.47%
308. 	261180 	Lethal League 	3,871 	209 	94.05% 	94.88%
309. 	3720 	Evil Genius 	1,453 	70 	94.04% 	95.40%
310. 	351700 	UnReal World 	382 	13 	94.04% 	96.71%
311. 	7200 	TrackMania United 	736 	31 	94.04% 	95.96%
312. 	202170 	Sleeping Dogs™ 	14,263 	837 	94.02% 	94.46%
313. 	440 	Team Fortress 2 	421,796 	26,453 	94.02% 	94.10%
314. 	47780 	Dead Space 2 	6,349 	358 	94.01% 	94.66%
315. 	359390 	Amnesia™: Memories 	1,247 	59 	94.01% 	95.48%
316. 	502800 	SENRAN KAGURA ESTIVAL VERSUS 	1,188 	56 	93.99% 	95.50%
317. 	253750 	Ikaruga 	1,130 	53 	93.97% 	95.52%
318. 	402620 	Kindred Spirits on the Roof 	397 	14 	93.96% 	96.59%
319. 	26800 	Braid 	5,695 	322 	93.96% 	94.65%
320. 	272040 	KAMI 	910 	41 	93.96% 	95.69%
321. 	561080 	The Price of Freedom 	183 	4 	93.95% 	97.86%
322. 	587650 	Half-Life 2: DownFall 	375 	13 	93.93% 	96.65%
323. 	228360 	Full Throttle Remastered 	435 	16 	93.93% 	96.45%
324. 	48000 	LIMBO 	23,900 	1,454 	93.93% 	94.27%
325. 	639790 	Deep Space Waifu 	354 	12 	93.92% 	96.72%
326. 	270370 	Lambda Wars Beta 	2,062 	107 	93.92% 	95.07%
327. 	245170 	Skullgirls 	11,006 	652 	93.91% 	94.41%
328. 	398000 	Little Big Adventure 2 	133 	2 	93.90% 	98.52%
329. 	22120 	Penumbra: Black Plague 	1,062 	50 	93.89% 	95.50%
330. 	490840 	Gnomes & Goblins (preview) 	392 	14 	93.89% 	96.55%
331. 	98800 	Dungeons of Dredmor 	3,541 	196 	93.88% 	94.76%
332. 	266210 	One Way Heroics 	3,186 	175 	93.87% 	94.79%
333. 	286160 	Tabletop Simulator 	7,859 	462 	93.86% 	94.45%
334. 	461560 	Mandagon 	3,557 	198 	93.85% 	94.73%
335. 	491420 	The 9th Day 	179 	4 	93.83% 	97.81%
336. 	405830 	Turok 2: Seeds of Evil 	598 	25 	93.83% 	95.99%
337. 	284850 	Grim Legends: The Forsaken Bride 	690 	30 	93.82% 	95.83%
338. 	568770 	Cinderella Phenomenon 	577 	24 	93.80% 	96.01%
339. 	248820 	Risk of Rain 	19,956 	1,239 	93.78% 	94.15%
340. 	464450 	DoDonPachi Resurrection 	264 	8 	93.78% 	97.06%
341. 	217200 	Worms Armageddon 	2,550 	140 	93.75% 	94.80%
